Company_Brand,Founded,HeadQuarter,Sector,What_it_does,Founders,Investor,Amount,Stage,Year
Virtual Forest,2019,Bangalore,Tech,Tracking seasonal change in virtual forest,Omer Basith,Napino Auto And Electronics Ltd,3000000.0,Series C,2020-01-01
The Health Company,2018,Gurugram,Ai Health,Organic superfoods & free personal health coaching that actually work.,"Devansh Jain Nawal, Ackshay Jain","Vcats, First Cheque, 9Unicorns, Marquee Investors",350000.0,Pre series A,2020-01-01
Trulymadly Matchmakers,2014,Gurugram,Dating App,One of the best dating Apps in India connecting singles across the country.,Snehil Khanor,"Angellist, Inflection Point Ventures, The Chennai Angels",110000.0,Pre-series A,2020-01-01
Truefan,2020,Mumbai,Media,Enables users to play quizzes around celebrities and winners get a personalised video message from stars.,"Nimish Goel, Nevaid Aggarwal, Devender Bindal","Mayfield India, Saama Capital, Ronnie Screwvala",4300000.0,Seed round,2020-01-01
Fanspole,2015,Mumbai,Gaming,A free app that users can use to create contests and play,"Aniket Shinde, Hardik Gondaliya",Better Capital,3000000.0,Pre-seed Round,2020-01-01
Byju'S,2011,Bangalore,Edtech,Provides online learning classes,Byju Raveendran,Dst Global,122000000.0,Seed,2020-01-01
Avail Finance,2017,Bangalore,Fintech,Instant online loan app,"Ankush Aggarwal, Tushar Mehndiratta","Alphawave, Matrix Partners",11635000.0,Series B,2020-01-01
The Money Club,2016,Delhi,Ai,AI based chit fund cashier app,"Manuraj Jain, Surajit Raj",Venture Catalysts,3000000.0,Pre series A,2020-01-01
Virohan,2018,Gurgaon,Healthcare/Edtech,Healthcare training company,"Kunaal Dudeja, Nalin Saluja, Archit Jayaswal","Keiretsu Forum, Elea Foundation",2800000.0,Seed Round & Series A,2020-01-01
Onecode,2016,Gurugram,Social Commerce,Connects new-age digital first brands with relevant sellers,"Manish Shara, Yash Desai",Waterbridge Ventures,3000000.0,Seed round,2020-01-01
Verloop.Io,2015,New Delhi,Ai,Helps automate customer service using Artificial Intelligence,Gaurav Singh,Alpha Wave Incubation,5000000.0,Seed,2020-01-01
Otipy,2020,Delhi,Agritech/Commerce,Connects consumers with farmers thorugh women resellers,Varun Khanna,Inflection Point Ventures,1000000.0,Pre Series A,2020-01-01
Evage,2014,Chandigarh,Mobility Tech,Develop emissions-free electric commercial vehicles,Inderveer Singh,Anand Shah,3000000.0,Seed Round,2020-01-01
Lead School,2012,Mumbai,Edtech,Offers an integrated system for schools by helping them digitize the entire curriculum,"Sumeet Yashpal Mehta, Smita Deorah","Westbridge Capital, Elevar Equity",28000000.0,Series C,2020-01-01
Trell,2016,Bangalore,Social E-Commerce,Allows users to share their travel experiences,"Pulkit Agrawal, Prashant Sachan, Arun Lodhi, Bimal Kartheek Rebba, Nirav Sheth","Ktb Network, Samsung Ventures, Ankur Nagpal, Gokul Rajaram, Vineet Buch",11000000.0,Series A,2020-01-01
Captain Fresh,2019,Bangalore,Food & Logistics,Sea food Supply chain,Utham Gowda,Ankur Capital,2300000.0,Pre Series A,2020-01-01
Teachmint,2016,Bangalore,Edtech,Empowers tutors with tools to deliver effective learning outcomes for students and parents,"Mihir Gupta, Payoj Jain, Divyansh Bordia, Anshuman Kumar",Better Capital,3000000.0,Seed,2020-01-01
Pixxel,2019,Bangalore,Spacetech,Indian Earth observation startup,"Kshitij Khandelwal, Awais Ahmed","Lightspeed India Partners, Blume Ventures, Growx Ventures",5000000.0,Seed round,2020-01-01
Habbit Health,2019,Delhi,Nutrition Tech,Applies modern science for healthier life through proprietary foods & digital ecosystem,Dhruv Bhushan,"3One4 Capital, Angel List India",3000000.0,Pre seed Round,2020-01-01
Smarterbiz,2014,Bangalore,Tech,An end-to-end CX platform enabled with the gig workforce,"Rajesh Bernard, Vijay Krishna, Prateek Mehta","Startupxseed Ventures, Bhaskar Pramanik, Mj Aravinf, Ravi Viswanath, Ramesh Radhakrishnan, Ranjan Biswas, Mj Aniketh.",1065000.0,Pre Series A,2020-01-01
Able Jobs,2019,Bangalore,Hr,Provides end to end hiring support to companies,"Ravish Agrawal, Swatantra Kumar, Siddharth Srivastav","Saif Partners, Y Combinator, Neeraj Arora, Titan Capital, First Cheque.",2000000.0,Seed Round,2020-01-01
Vieroots,2018,Kochi,Healthtech,Personalised lifestyle management using epigenetic science,Sanjeev Nair,Suniel Shetty,3000000.0,Seed,2020-01-01
Stack Finance,2019,Bangalore,Fintech,"It automates invesments, expenses, borrowing under a single platform",Smriti Tomar,"Sosv, Mox (Mobile Only Accelerator)",3000000.0,Seed round,2020-01-01
Fpl Technologies,2016,Pune,Fintech,OneScore app is built by FPL - Free credit scoring and monitoring,Anurag Sinha,"Matrix Partners India, Sequoia Capital India, Hummingbird Ventures",10000000.0,Series A,2020-01-01
Masai School,2019,Bangalore,Edtech,It trains tech aspirants in full stack wed and android development,"Prateek Shukla, Nrupul Dev, Yogesh Bhat","Unitus Ventures, India Quotient, Angellist India",2500000.0,Series A,2020-01-01
Mitron,2016,Bangalore,Media,Short Video and Social Platform,"Shivank Agarwal, Anish Khandelwal.",Nexus Venture Partners,5000000.0,Series A,2020-01-01
Daalchini,2017,Gurugram,Iot,Physical and Digital vending machines startup,"Prerna Kalra, Vidya Bhushan",Artha Venture Fund,669000.0,Pre Series A,2020-01-01
Suno India,2018,Kochi,Media,Multilingual podcast platform,"Dvl Padma Priya, Rakesh Kamal, Tarun Nirwan",Shobu Yarlagadda,3000000.0,Angel Round,2020-01-01
Lendingkart,2014,Ahmedabad,Fintech,Provides working capital loans and business loans to MSMEs,"Public Banks, Private Lenders","Fullerton Financial Holdings, Bertelsmann India Investments, Sistema Asia Fund, Indiaquotient",16076000.0,Series D,2020-01-01
Text Mercato,2015,Bangalore,Automobile,Cataloguing startup that serves ecommerce platforms,"Kiran Ramakrishna, Subhajit Mukherjee",1Crowd,649600.0,Series A,2020-01-01
Eden Smart Homes,2018,Ahmedabad,Iot,Develops smart home automation systems,"Pranjal Kacholia, Divyansh Mathur",Inflection Point Ventures,3000000.0,Seed Round,2020-01-01
Grayquest,2017,Mumbai,Edtech,Enables parents to pay their annual education fees in up to 12 monthly installments,Rishab Mehta,Foundation Holdings,1000000.0,Pre Series A,2020-01-01
Bighaat,2015,Bangalore,Agritech,Agri-inputs ecommerce player,"Sateesh Nukala, Sachinnandwana","Ankur Capital, Beyond Next Ventures",2000000.0,Pre Series A,2020-01-01
Citycash,2017,Mumbai,Fintech,Focusses on creating a transit led micro-payments ecosystem,Vineet Toshniwala,Orios Venture Partners,1000000.0,Seed round,2020-01-01
Homelane,2014,Chennai,Interior Design,Provides interior designing solutions,"Srikanth Iyer, Rama Harinath","Evolvence India Fund (Eif), Pidilite Group, Fj Labs",1000000.0,Series D,2020-01-01
Hungerbox,2015,Bangalore,Foodtech,"Offers B2B tech platform to corporates, aimed at improving the operations of their cafeterias","Sandipan Mitra, Uttam Kumar",Iifl Income Opportunities Fund,6700000.0,Series C,2020-01-01
Daveai,2016,Bangalore,Ai,Sales augmentation platform with a vision to democratise AI for enterprises,"Ananthakrishnan Gopal, Ashok Balasundaram, Sriram P H",Mumbai Angels Network,3000000.0,Series A,2020-01-01
Eduvanz,2016,Mumbai,Fintech,Digital finance NBFC that provides affordable education loans,"Varun Chopra, Raheel Shah",Sequoia India,5000000.0,Series A,2020-01-01
Ziploan,2015,Delhi,Fintech,Provides loans to MSMEs,"Kshitj Puri, Shalabh Singhal",Stride Ventures,2000000.0,Seed,2020-01-01
Docsumo,2019,Mumbai,Ai,Platform helps to automate and analyse financial data,"Rushabh Sheth, Bikram Dahl","Better Capital, Techstars, Barclays.",220000.0,Seed round,2020-01-01
Cusmat,2016,Warangal,Ar/Vr,It builds high immersion training systems for enterprises,"Abhinav Ayan, Anirban Jyoti Chakravorty, Soumyaranjan Harichandan","Venture Catalysts,  Raveen Sastry",3000000.0,Seed,2020-01-01
Chingari,2018,Bangalore,Media,Short video platform,"Biswatma Nayak, Siddharth Gautam","Angellist India, Utsav Somani, Village Global, Logx Ventures, Jasminder Singh Gulati",1300000.0,Seed round,2020-01-01
Bolo Indya,2016,Gurugram,Media,User-generated content platform,Varun Saxena,"Eagle10 Ventures, India Accelerator, Hnis",300000.0,Pre series A1,2020-01-01
Data Sutram,2018,Kolkata,Ai,Platform gathers intel from external data to provide location-based data intelligence.,"Rajit Bhattacharya, Aisik Paul, Ankit Das","Uday Sodhi, Mitesh Shah, Nitin Jain",266500.0,Series B,2020-01-01
Wobot Intelligence,2016,Delhi,Ai,AI backed video analytics platform,"Adit Chhabra, Tapan Dixit,Tanay Dixit.",Sequoia Capital India,2500000.0,Pre Series A,2020-01-01
Drinkprime,2016,Bangalore,Appliance,Subscription-based Water purifier startup,"Viijender Reddy, Manas Ranjan Hota",Sequoia Surge,2879000.0,Pre Series A,2020-01-01
Infeedo,2013,Gurugram,Hr Tech,An employee engagement HR analytics platform,"Tanmaya Jain, Varun Puri",Y Combinator,700000.0,Series C,2020-01-01
Probus Smart Things,2016,Delhi,Iot,Platform for monitoring distribution sub-station performance and operations,"Anand Singh, Ankit Vaish",Unicorn India Ventures,3000000.0,Seed round,2020-01-01
Crowdpouch,2016,Bangalore,Tech,A reward-based fundraising and preselling platform,Vittal Ramakrishna,Elina Investments,3000000.0,Angel Round,2020-01-01
Rebel Foods,2011,Mumbai,Food Tech,Cloud kitchen platform,"Jaydeep Barman, Kallol Bannerjee",Coatue Management,26500000.0,Series E2,2020-01-01
Hevo,2017,Bangalore,Tech,Data pipeline startup,"Manish Jethani, Sourabh Agarwal","Qualgro, Lachy Groom",8000000.0,Series A,2020-01-01
Bigspoon Foods,2019,Ahmedabad,Foodtech,Cloud kitchen startup,"Kapil Mathrani, Rohan Bhatt, Poojan Thakkar","Urmin Family Office, Lemonade Ventures, Truevalue Group Md Yash Shah",2000000.0,Pre series A,2020-01-01
Chingari,2016,Bangalore,Media,Homegrown short video platform,Sumit Ghosh,"Logx Ventures, Angellist’S Utsav Somani, Nowfloats’ Jasminder Singh Gulati, Al Trust (Vistra Itcl), Village Global.",1000000.0,Seed Round,2020-01-01
Sharechat,2015,Bangalore,Media,Indian social network platform,"Ankush Sachdeva, Bhanu Pratap Singh, Farid Ahsan","All About Inc, Beenext Pte Led, Beenos Asia, Dg Ventures, Kanamori Assagement Singapore, Rebright Partners I, Rebright Partners Ii, Tetsuro Koda",351000.0,Series C,2020-01-01
Datstop,2016,Delhi,Hospitality,It offers urban social space,Dhruvin Shah,"Shabir Momin, Onedigital Entertainment,  Saurabh Pathak.",3000000.0,Pre series A,2020-01-01
Iphm Services,2016,Mumbai,Mental Health,It helps design programs and workshops for the psychological well-being of individuals,Dr. Sachin Bhavsar,Indian Angel Fund,3000000.0,Seed Round,2020-01-01
Wellcure,2016,Gurugram,Healthtech,It caters to all health and wellness needs,"Sumeet Kapur, Ankur Bhatia, Aanchal Kapur",Inflection Point Ventures,200000.0,Seed,2020-01-01
Vilcart,2018,Bangalore,Ecommerce,"Retail industry in rural India through technology, supply chain, and logistics facilities.","Prasanna Kumar, Mahesh Bhat, Rajasekhar, Amith S Mali","N S Parthasarathy, Dilipkumar Khandelwal, Anand Nichani, Anath Ravi, Prashanth Prakash",3000000.0,Bridge Round,2020-01-01
Firescore,2016,Mumbai,Gaming,Game development studio,"Karan Khairajani, Surojit Roy",Crazy Labs,500000.0,Series B,2020-01-01
Bulbul,2018,Gurgaon,Social Commerce,A video and livestream led commerce platform that makes online shopping engaging,"Sachin Bhatia, Atit Jain",Info Edge,3000000.0,Seed,2020-01-01
Toppr,2013,Mumbai,Edtech,It provides AI-based after school learning app for K12,Zishaan Hayath,Foundation Holdings,46761000.0,Series D,2020-01-01
Pickright Technologies,2019,Bangalore,Fintech,Marketplace for stock market investors and advisors,"Archana Elapavuluri, Namandeep Bhatia, Siddharth Panjwani","Sanjay Mehta, Vikram Pandya, Gaurav Gupta, Vivel Srivatsav, Madhavi Bollipalli, Srinivas Paanem, Satish Bogullu",175000.0,Seed Round,2020-01-01
Muse Wearables,2018,Chennai,Tech,It sells the world’s first payment-enabled hybrid smartwatches,"K.L.N Sai Prasanth, Yathindra Ajay K.A, K. Prathyusha",Dr. Bhaskar Rao Bollineni,3000000.0,Series C,2020-01-01
Satya Microcapital,1995,Delhi,Fintech,Microfinance company that offers collateral-free credit to micro enterprises,Vivek Tiwari,Blueorchard Finance Limited,3000000.0,Pre series A,2020-01-01
Wyn Studio,2016,Gurugram,Media,It creates video content and podcasts,"Bijay Gautam, Souniya Khurana",India Angel Fund,3000000.0,Seed Round,2020-01-01
Fourth Partner Energy,2010,Bangalore,Solar Solution,Largest startup in the distributed solar sector,Saif Dhorajiwala,Responsability Investments Ag,15000000.0,Series C,2020-01-01
Entri,2017,Kochi,Edtech,Local language learning startup,Mohammed Hisamuddin,Good Capital,1700000.0,Pre series A,2020-01-01
Snack Amor,2017,Mumbai,Foodtech,Healthy snack startup,Deepak Grover,Dr Srinivas Chunduru,3000000.0,Seed Round,2020-01-01
Mpowered,2016,Gurugram,Saas,Asset Management Solutions,Sudeep Singh,"Ashok Nichani, Shelly Nichani",21000000.0,Pre series A,2020-01-01
Leap Club,2020,Gurugram,Social E-Commerce,Community led professional network for women,"Ragini Das, Anand Sinha",Titan Capital,3000000.0,Series A,2020-01-01
Ather Energy,2013,Bangalore,Automobile,Electric scooter manufacturer,"Tarun Mehta, Swapnil Jain",Hero Motocorp,11241000.0,Series C,2020-01-01
Gigforce,2016,Bangalore,Hr Tech,Provides staffing solutions for businesses,"Chirag Mittal, Parag Modi, Anirudh Syal",Unitus Venture,804000.0,Series A,2020-01-01
Vegrow,2020,Bangalore,Agritech,It is building an asset-light farm by partnering with small farms on a profit-sharing model,"Praneeth Kumar, Shobhit Jain, Mrudhukar Batchu, Kiran Naik","Matrix Partners India, Ankur Capital",2500000.0,Seed Round,2020-01-01
Finn,2019,Bangalore,Fintech,Neobanking startup that digitises all banking transactions,"Suman Maram, Sudheer Maram","Unicorn India, Pointone Capital, Astir Ventures",3000000.0,Pre series A,2020-01-01
Bijnis,2015,Ahmedabad,B2B Marketplace,Provides a platform for manufacturers and retailers in digital transaction,"Siddharth Vij, Siddharth Rastogi, Shubham Agarwal, Chaitanya Rathi","Sequoia Capital India, Matrix Partners India, Infoedge, Waterbridge Ventures",10000000.0,Series A,2020-01-01
Inurture,2009,Bangalore,Edtech,"It provides a conducive and healthy teaching, learning environment",Ashwin Ajila,Blacksoil Capital,1340000.0,Series B,2020-01-01
Styledotme,2014,Gurugram,Fashion Tech,"mirrAR, helps jewellers sell jewellery with no physical inventory","Meghna Saraogi, Akhil Tolani",Survam Partners,467000.0,Pre series A,2020-01-01
Ripsey,2018,Mumbai,Nutrition Tech,It plans meals in consultation from fitness experts and nutritionists and prepares them in-house,"Silky Singh, Alkheya Boora Rpsey",Ah! Ventures,133000.0,Series C,2020-01-01
Thrivefnc,2017,Pune,Health & Wellness,Focusses on reversing chronic lifestyle disorders through functional nutrition.,Mugdha Pradhan,Rajesh Ranavat,3000000.0,Seed Round,2020-01-01
Vedantu,2011,Bangalore,Edtech,Onine learning platform,"Saurabh Saxena, Pulkit Jain, Anand Prakash, Vamsi Krishna",Coatue,100000000.0,Series D,2020-01-01
Magicpin,2015,Gurugram,Cosmetics,"It is a local discovery, rewards, and commerce platform","Anshoo Sharma, Brij Bhushan",Samsung Venture Investment Corporation,7000000.0,Series D,2020-01-01
Procol,2018,Delhi,Agritech,Commodity procurement platform,"Gaurav Baheti, Sumit Mendiratta",Sequoia Surge,3823000.0,Seed Round,2020-01-01
Yumlane,2016,Mumbai,Cloud Kitchen,Online retailer that offers a range of on-the-go hot snacking and meals,Hitesh Ahuja,Jetty Ventures,1000000.0,Pre series A,2020-01-01
Crio,2018,Bangalore,Edtech,A learning platform for developers,"Rathinamurthy R, Sridher Jeyachandran",021 Capital,934000.0,Seed,2020-01-01
Openapp,2016,Bangalore,Iot,Security solutions startup,Gotama Gowda,Unicorn India Ventures,500000.0,Pre series A,2020-01-01
Pumpumpum,2016,Gurugram,Iot/Automobile,Offers leased car services,"Tarun Lawadia, Sameer Kalra",Letsventure Syndicate,293000.0,Seed,2020-01-01
Ufony Services Pvt Ltd,2016,Pune,Edtech,"School Diary, a platform that brings education to smartphones",Ashish C,Chennai Angels,3000000.0,Series A,2020-01-01
Protinus Fashion Networking Pvt Ltd,2015,Mumbai,Fashion,Owns and operates fashion commerce and retail management platform 6Degree,"Nikhil Hegde, Amit Bhardwaj",Sucseed Ventures,3000000.0,Pre series A,2020-01-01
Uable,2016,Bangalore,Edtech,Online life skills development platform for children,Saurabh Saxena,3One4 Capital,3000000.0,Seed Round,2020-01-01
Parksmart,2019,Delhi,Iot,Parking spot reservation platform,"Prateek Garg, Vishva Sharma, Rahul Gupta, Rishabh Nagpal, Ratan Sethi",Ah! Ventures,198000.0,Series C,2020-01-01
Plum,2019,Bangalore,Healthtech,Provides health benefits to corporates,"Abhishek Poddar, Saurabh Arora",Incubate Fund,927000.0,Seed Round,2020-01-01
Incnut Digital,2011,Hyderabad,Ecommerce,Owns and Operates two women-centric digital media platforms -- Stylecraze.com and Momjunction.com,"Chaitanya Nallan, Sangram Simha, Veerendra Shivhare",Rpsg Ventures,4000000.0,Series A,2020-01-01
Gigindia,2017,Pune,Tech,Marketplace that provides on-demand work completion for companies through workforce of jobseekers,"Sahil Sharma, Aditya Shirole",Incubate Fund India,971000.0,Pre series A,2020-01-01
Specsmaker,2007,Chennai,Eye Wear,Online optical chain for eye wears,Pratik Shah,Eight Road Ventures,3060000.0,Series B,2020-01-01
Piggy Ride,2016,Bangalore,Saas,"Offers parents and kids, a platform to browse and book extracurricular interest-based activities",Manish Tewari,"Jafco Asia, Artha Venture Fund",1862000.0,Pre series A,2020-01-01
Chai Waale,2018,Chennai,Beverage,Tea Brand,Vidur Maheshwari,"Tharun Dhariwal, Sunil Kumar Singhvi, Arun Ostwal, Vishal Ostwal, Gunavanth Vaid, Bharat Kumar",232000.0,Seed,2020-01-01
Noto,2016,Mumbai,Food,A brand that makes healthy icecream,"Ashni Sheth, Varun Sheth",Weh Ventures,3000000.0,Pre seed round,2020-01-01
Cuemath,2013,Bangalore,Edtech,It helps students to learn math online,Manan Khurma,Trifecta Capital,2888000.0,Series B,2020-01-01
Cars24,2015,Gurgaon,Automobile,Online platform for selling used cars,Vikram Chopra,Vivriti Capital,1328000.0,Series A,2020-01-01
Jetsynthesys,2012,Pune,Digital Tech,Digital entertainment and technology company,Rajannavani,"Adar Poonawalla, Kris Gopalakrishnan",40000000.0,Series C,2020-01-01
Earth Energy Ev,2017,Mumbai,Automobile,Electric vehicles startup,Rushi Shenghani,Lr Joshi,3000000.0,Seed Round,2020-01-01
Green Cure,2015,Delhi,Health & Wellness,It sells herbal OTC products,"Sanchit Garg, Sanjeev Dadhich",Venture Catalysts,3000000.0,Series C,2020-01-01
Blue Sky Analytics,2018,Gurugram,Data Intelligence,"It is building AI-powered infrastructure to analyse air quality, pollution etc","Abhilasha, Kshitij Purwar","Beenext, Rainmatter Capital Pvt Ltd, Stanford Angels & Entrepreneurs",1200000.0,Seed Round,2020-01-01
Edhusk,2017,Jaipur,Edtech,Provieds personalised learning to students by leveraging technology-driven models,"Anuj Bhuria, Himanshu Kumar, Himanshu Meena",Mumbai Angel Network,3000000.0,Seed Round,2020-01-01
Decentro,2020,Bangalore,Fintech,Automated API-based platform that enables financial integrations.,Rohit Taneja,Y Combinator,15500000.0,Series A,2020-01-01
Zolostays,2015,Bangalore,Co-Living,It offers affordable housing apartments to young professionals and students,"Akhil Sikri, Nikhil Sikri, Sneha Choudhry","Investcorp, Nexus Venture Partners, Mirae Assets, Trifecta Capital",56000000.0,Series C,2020-01-01
Frontier Markets,2011,Jaipur,Ecommerce,Women entreprenuers sells products and services to rural India,Ajaitha Shah,"Engie Rassembleurs D'Energies, The Rise Fund, And The Singh Family Trusts,Teja Ventures, Beyond Capital Fund.",2250000.0,Pre series A,2020-01-01
Brainwired,2018,Kerala,Agritech,India’s first livestock health monitoring company,"Sreeshankar S Nair, Romeo P Jerard","Kritik Abiram, Parthiv Rokadia, Gaurav Saraogi",3000000.0,Series B,2020-01-01
Aye Finance,2014,Gurugram,Fintech,A finance lender to SMEs,"Vikram Jetley, Sanjay Sharma",Invest In Vision,16753000.0,Series E,2020-01-01
Paper Boat,2013,Gurugram,Food & Beverages,Ecommerce platform for beverages and snacks,"Neeraj Kakkar, James Nutall, Suhas Misra, Neeraj Biyani","Sofina Ventures, A91 Emerging Fund, Sci Growth Investment Ii, Catamarann Ventures",3700000.0,Seed,2020-01-01
Ken42,2019,Bangalore,Edtech,A platform that caters to evolving needs of institutions,Ganesh Raju,Turbostart,1470000.0,Pre series A,2020-01-01
Forbidden Foods,2016,Delhi,Food,Packaged snacks company,Anuj Krishnan,"Globevestor, Secocha Ventures, First Cheque Vc, Kashyap Deorah, Vijay Sivaram",1000000.0,Seed Round,2020-01-01
Universal Sportsbiz,2012,Bangalore,Fashion,Indian fashion industry with on-trend products,Anjana Reddy,Nb Ventures,530000.0,Pre series A,2020-01-01
Gobbly,2016,Gurugram,Retail Tech,A contactless retail store filled with fruits and veggies,Ooshma Garg,Sauce Vc,500000.0,Seed Round,2020-01-01
Aerostrovilos,2016,Chennai,Automotive,Manufactures micro gas turbines for power-based application,"Rohit Grover, Pradeep Thangappan",Mumbai Angels Network,3000000.0,Series A,2020-01-01
Mitron,2016,Bangalore,Media,Short Video and Social Platform,"Shivank Agarwal, Anish Khandelwal","3One4 Capital, Letsventure",267000.0,Seed Round,2020-01-01
Bulk Mro,2015,Mumbai,B2B,A full stack B2B platform for industrial supplies,"Devang Shah, Gaurang Shah",Stride Ventures,3344000.0,Series A,2020-01-01
Inspektlabs,2019,Delhi,Ai,Focuses on building computer vision products for physical asset inspections,"Devesh Trivedi, Sanchit","Better Capital, Titan Capital",600000.0,Pre series A,2020-01-01
Big Bang Boom Solutions,2018,Chennai,Defense Tech,It developed integrated intellectual properties for defense,"Praveen Dwarkanath, Dr. Shivaraman Ramaswamy",Mumbai Angels Network,1000000.0,Series A,2020-01-01
Flinto,2013,Chennai,Edtech,It is an educational subscription-box focussed at activity-based learning for the ages 2-12,"Vijay Babu Gandhi, Shreenidhi Srirangam, Arunprasad Durairaj",Lightbox Ventures,7200000.0,Pre series B,2020-01-01
Zetwerk,2018,Bangalore,Marketplace,B2B marketplace that connects manufacturing companies for industrial equipements,"Amrit Acharya, Srinath Ramakkrushnan, Vishal Chaudhary",Greenoaks,21000000.0,Series C,2020-01-01
Chitmonks,2016,Hyderabad,Fintech,Offers enterprise private platform for chit fund firms,Pavan Adipuram,Unicorn India Ventures,650000.0,Pre series A,2020-01-01
Walrus,2019,Bangalore,Fintech,It provides banking solutions for teens and young adults,"Bhagaban Behera, Sriharsha Shetty, Nakul Kelkar",Better Capital,3000000.0,Pre-Seed,2020-01-01
Arth Designbuild,2016,Hyderebad,Construction Tech,Construction technology and solutions provider,Swapnil Sahu,"Startup-O, Eden Ventures",1100000.0,Series A,2020-01-01
Godutch,2016,Mumbai,Fintech,Group Payments platform,"Aniruddh Singh, Riyaz Khan, Sagar Sheth","Matrix India, Y Combinator, Global Founders Capital, Soma Capital, Venturesouq",1700000.0,Seed Round,2020-01-01
Rusk Media,2019,Delhi,Digital Media,It creates video content,Mayank Yadav,"Infoedge Venture Fund, Sprout Venture Partners",3000000.0,Seed Round,2020-01-01
Bold Care,2019,Mumbai,Health & Wellness,Digital platform that offers sexologist consultations for  men,"Rajat Jadhav, Rahul Krishnan, Harsh Singh, Mohit Yadav","Rajesh Ranavat, Abhishek Shah, Sheetal Bahl, Manu Rikhye, Ashish Taneja, Kabir Kochhar, Mohit Satyanand",3000000.0,Pre-seed Round,2020-01-01
Samosa Party,2017,Bangalore,Food,Provides quality Indian Snacks,Amit Nanwani,Inflection Point Ventures,3000000.0,Series C,2020-01-01
High Street Essentials,2012,New Delhi,Ecommerce,The parent company of women's fashion brands FabAlley and Indya,"Shivani Poddar, Tanvi Malik","Saif Partners, India Quotient",2743000.0,Pre series C,2020-01-01
Byju'S,2011,Bangalore,Edtech,Provides online learning classes,Byju Raveendran,Bond,3000000.0,Seed,2020-01-01
Slice,2016,Bangalore,Fintech,A financial platform for youngsters,Rajan Bajaj,Gunosy,6082000.0,Pre series B,2020-01-01
Bombay Play,2016,Bangalore,Gaming,It designs and creates online multiplayer games,"Abhas Saroha, Oliver Jones","Leo Capital, Ramakant Sharma",1500000.0,Pre series A,2020-01-01
Fullife,2011,Mumbai,Healthtech,It sells sports nutrition supplements through a brand called Fast&Up,Varun Khanna,Amansa Capital,6609000.0,Series A,2020-01-01
Oziva,2016,New Delhi,Nutrition,Clean Label Active Nutrition Brand,"Aarti Gill, Mihir Gadani",Matrix Partners,5000000.0,Series A,2020-01-01
Aye Finance,2014,Gurugram,Fintech,A finance lender to SMEs,"Vikram Jetley, Sanjay Sharma","Capital G, Alphabet'S Independent Growth Fund",27700000.0,Series E,2020-01-01
Aether Biomedical,2016,Delhi,Medtech,"Medical robotics startup, focussed on developing rehabilitation devices","Dhruv Agrawal, Faith Jiwakhan",Chiratae Ventures,3000000.0,Seed Investment,2020-01-01
91Springboard,2012,Delhi,Coworking,It offers collaborative workspace with varied amenities,"Vemuri, Deepak Sharma, Pranay Gupta, Varun Chawla","Pearl Brook Holdings Ltd, Al Nour International Holdings Co.",5940000.0,Seed,2020-01-01
Yulu,2016,New Delhi,Micro-Mobiity,The electric and scooter rental startup,Amit Gupta,Rocketship,3964000.0,Seed Round,2020-01-01
Milkbasket,2015,Gurugram,Logistics,Hyperlocal delivery service startup,Anant Goel,Inflection Point Ventures,5500000.0,Seed Round,2020-01-01
Mergerdomo,2018,Noida,Marketplace,Global online corporate deal sourcing and consulting marketplace,"Hormazd Charna, Manoj Mishra","Nadir Godrej, Individual Investors",197000.0,Seed Round,2020-01-01
Gomechanic,2016,Delhi,Auto-Tech,Find automobile repair and maintenance service providers,"Amit Bhasin, Kushal Karwa, Nitin Rana, Rishabh Karwa",Pawan Munjal,3000000.0,Series B,2020-01-01
Milk Mantra,2009,Odisha,Food,Produces Dairy Products,Srikumar Misra,Us International Development Finance Corporation,10000000.0,Pre series A,2020-01-01
Myglamm,2015,Mumbai,Beauty,On-demand beauty services provider,Darpan Sanghvi,"Tano India, L’Occitane, Bessemer",4327000.0,Series C,2020-01-01
Drishti Technologies,2016,Bangalore,Ai,"AI-based video analytics, data, and insights bring benefits to manufacturers",Prasad Akella,Sozo Ventures,25000000.0,Series B,2020-01-01
Instasolv,2019,Noida,Edtech,It is a doubt-solving app for students from Class 6 to 12,"Aditya Singhal, Nishant Sinha, Bahul Arora",Undisclosed,2000000.0,Pre series A,2020-01-01
Goldenpi,2017,Bangalore,Fintech,An online aggregator of bonds and debentures available in the secondary market,"Abhijit Roy, Samir Pratihar",Rainmatter Capital,459000.0,Series A,2020-01-01
Peppermint,2020,Kolkata,Robotics,Industrial robotics startup,"Runal Dahiwade, Nityanand Prabhutendolkar, Miraj C. Vora","Venture Catalysts, Naveen Kshatriya,",3000000.0,Seed Round,2020-01-01
Sarva,2016,Mumbai,Yoga & Wellness,It drives a cultural change in making yoga-based wellness a part of modern lifestyle,Sarvesh Shashi,Shikhar Dhawan,3000000.0,Pre series A,2020-01-01
Jai Kisan,2017,Mumbai,Fintech,A platform that caters the need of customers in rural areas,"Arjun Ahluwalia, Adriel Maniego","Arkam Ventures, Nabventures",3937000.0,Pre series A,2020-01-01
Agro2O,2016,New Delhi,Agritech,It develops products focused on making hydroponics-based farming,Yash Vyas,Mumbai Angels Network,3000000.0,Seed Round,2020-01-01
